u1001,LOGIN,0,1714300000000
u1001,PURCHASE,120,1714300100000
u1002,LOGIN,0,1714300150000
u1003,PURCHASE,450,1714300200000
u1002,ERROR,1,1714300250000
u1001,LOGOUT,0,1714300300000
u1004,LOGIN,0,1714300350000
u1004,PURCHASE,300,1714300400000
u1003,LOGOUT,0,1714300450000
u1005,PURCHASE,0,1714300500000

u1006,LOGIN,0,1714300550000
u1006,PURCHASE,200,1714300600000
u1006,PURCHASE,150,1714300650000
u1007,ERROR,2,1714300700000
u1008,LOGIN,0,1714300750000
u1008,LOGOUT,0,1714300800000
u1009,PURCHASE,999,1714300850000

,LOGIN,0,1714300900000
u1010,PAYMENT,500,1714300950000
u1011,PURCHASE,-50,1714301000000
u1012,PURCHASE,abc,1714301050000
u1013,LOGIN,0,not_a_timestamp
u1014,LOGIN
u1015,PURCHASE,250,1714301100000
